Player,Team,Position,Bye,Projected,Actual,Passing Yds,Passing TD,Int,Rushing Yds,Rushing TD,Receiving Yds,Receiving TD,Ret TD,Misc 2pt,Fum Lost,Fan Pts
Minnesota,Min,DEF,4,135,199,-,-,-,-,-,-,-,-,-,-,186
Kevin Walter,Hou,WR,7,136,180,0,0,0,26,0,611,2,0,0,0,68
Chad Henne,Mia,QB,5,137,95,2878,12,14,32,1,0,0,0,0,0,148
Devin Thomas,Was,WR,9,138,262,0,0,0,-2,0,325,3,0,0,0,64
Arrelious Benn,TB,WR,4,139,-,-,-,-,-,-,-,-,-,-,-,-
Donnie Avery,StL,WR,9,140,150,0,0,0,30,0,589,5,0,0,2,78
Willis McGahee,Bal,RB,8,141,69,0,0,0,544,12,85,2,0,0,1,136
Marshawn Lynch,Buf,RB,6,142,198,0,0,0,450,2,179,0,0,0,1,63
Leon Washington,Sea,RB,5,143,1397,0,0,0,331,0,131,0,0,0,1,54
Chaz Schilens,Oak,WR,10,144,269,0,0,0,0,0,365,2,0,0,0,45
Kyle Orton,Den,QB,9,145,34,3802,21,12,71,0,0,0,0,0,2,227
Vince Young,Ten,QB,9,146,123,1879,10,7,281,2,0,0,0,0,2,138
Bernard Berrian,Min,WR,4,147,154,0,0,0,0,0,618,4,0,0,0,78
Toby Gerhart,Min,RB,4,148,-,-,-,-,-,-,-,-,-,-,-,-
Golden Tate,Sea,WR,5,149,-,-,-,-,-,-,-,-,-,-,-,-
Green Bay,GB,DEF,10,150,110,-,-,-,-,-,-,-,-,-,-,192
Pittsburgh,Pit,DEF,5,151,206,-,-,-,-,-,-,-,-,-,-,168
Baltimore,Bal,DEF,8,152,145,-,-,-,-,-,-,-,-,-,-,184
Philadelphia,Phi,DEF,8,153,134,-,-,-,-,-,-,-,-,-,-,204
Stephen Gostkowski,NE,K,5,154,128,-,-,-,-,-,-,-,-,-,-,153
Tashard Choice,Dal,RB,4,155,211,0,0,0,349,3,132,0,0,1,0,60
Greg Olsen,Chi,TE,8,156,84,0,0,0,0,0,612,8,0,0,0,103
Garrett Hartley,NO,K,10,157,1576,-,-,-,-,-,-,-,-,-,-,42
Nate Washington,Ten,WR,9,158,137,0,0,0,15,0,569,6,0,0,0,87
Nate Kaeding,SD,K,10,159,88,-,-,-,-,-,-,-,-,-,-,171
Mason Crosby,GB,K,10,160,121,-,-,-,-,-,-,-,-,-,-,150
Rob Bironas,Ten,K,9,161,118,-,-,-,-,-,-,-,-,-,-,157
Dustin Keller,NYJ,TE,7,162,160,0,0,0,7,0,522,2,0,1,1,56
Ryan Longwell,Min,K,4,163,107,-,-,-,-,-,-,-,-,-,-,159
Roy Williams,Dal,WR,4,164,133,0,0,0,0,0,596,7,0,0,1,93
Glen Coffee,SF,RB,9,165,1425,0,0,0,226,1,76,0,0,0,0,32
Marcedes Lewis,Jac,TE,9,166,164,0,0,0,0,0,518,2,0,0,0,59
Todd Heap,Bal,TE,8,167,101,0,0,0,2,0,593,6,0,0,0,88
